smiles,DHODH
Cc1cc(C(=O)O)c2nc([nH]c2c1)c3ccc(cc3)c4cccc(O)c4,6.06
Cc1ccc(Nc2cnc(c(C)c2)c3ccccc3)c(c1)C(=O)O,7.28
CCOc1ccccc1c2cc(F)c(NC(=O)c3ccsc3C(=O)O)c(F)c2,8.05
Clc1cccc(c1)C(=O)NCCC(=O)N[C@@H]2CCCc3ccccc23,5.13
CCOC(=O)c1sc(Nc2ccc(C)c(Cl)c2)nc1c3ccccc3,7.46
Cc1cc(C(=O)O)c2[nH]c(nc2c1)c3ccc(nc3)c4ccccc4,5.42
OC(=O)C1=C(CCC1)C(=O)Nc2ccc(cc2C#N)c3cccc(OC(F)(F)F)c3,6.43
CCOC(=O)c1sc(Nc2ccc(cc2)C(C)(C)C)nc1c3ccccc3,6.55
Cc1n[nH]c(Nc2ccc(cc2)[N+](=O)[O-])c1C#N,5.05
CN(\N=C\c1ccc(C)cc1C(=O)O)c2nc(c(C)s2)c3ccccc3,7.85
Cc1ccc(Nc2cc(Cl)cnc2c3ccccc3)c(c1)C(=O)O,7.21
COc1cccc(c1)c2ccc(NC(=O)c3cocc3C(=O)O)c(F)c2,6.47
Cc1ccc(Nc2ccc(nc2)c3cccc(c3)C(F)(F)F)c(c1)C(=O)O,7.01
NC(=O)c1cccc2[nH]c(nc12)c3ccc(cc3)c4cccnc4,4.72
CC\C(=C(/C#N)\C(=O)Nc1ccc(c2ccc3OCCOc3c2)c(c1)C(=O)OC)\O,7.18
Cc1cc(C(=O)N)c2nc([nH]c2c1)c3ccc(cc3)c4cncc(c4)C(=O)N5CCCC5,4.3
Cc1ccc(Nc2cnc(c(C)c2)c3ccccc3F)c(c1)C(=O)O,8.3
Oc1ccc(cc1)\N=C\c2ccc3ccccc3c2,5.4
OC(=O)C1=C(CCC1)C(=O)Nc2c(F)c(F)c(c(F)c2F)c3cccc(OC(F)(F)F)c3,8.15
Cc1cc(C(=O)O)c2[nH]c(nc2c1)c3ccc(cc3F)c4ccccc4F,6.76
Cc1cc(C(=O)O)c2nc(C#Cc3ccccc3)[nH]c2c1,4.94
OC(=O)c1cc(Cl)cc2nc([nH]c12)c3ccc(cc3)c4ccccc4,6
Cc1cc(Nc2cc(F)c(c(F)c2)C(F)(F)F)n3nc(nc3n1)C(C)(F)F,5.68
OC(=O)c1cccc2cc([nH]c12)c3ccc(cc3)c4ccccc4,6.22
COc1cccc(c1)c2ccc(Nc3ncc(cc3C(=O)O)C4CC4)c(F)c2,7.48
OC(=O)C1=C(CSC1)C(=O)Nc2ccc(cc2)c3ccccc3,6.18
FC(F)(F)Oc1ccc(NC(=S)c2cnoc2C3CC3)cc1,6.1
OC(=O)c1c(O)c(nc2ccccc12)c3ccccc3,4.92
OC(=O)c1cccc2nc([nH]c12)c3ccc(cc3F)c4ccccc4,6.04
OC(=O)c1cc(ccc1Nc2cnc(nc2)c3cccc(OC4CC4)c3)C5CC5,6.94
OC(=O)C1=C(CCC1)C(=O)Nc2ccc(c(Cl)c2)c3cccc(OC(F)(F)F)c3,7.7
CC\C(=C(/C#N)\C(=O)Nc1ccc(OS(=O)(=O)C(F)(F)F)c(c1)C(=O)OC)\O,7.03
CC(C)Oc1nn(c(C)c1Cc2ccccc2F)c3ncc(cn3)C4CC4,7.9
CC(=O)Nc1ccc(COc2ccc(cc2)c3ccc(cc3)c4nc5c(cc(C)cc5[nH]4)C(=O)O)cc1,7.89
OC(=O)c1cccnc1Nc2ccc(OC(F)(F)F)cc2,6.3
OC(=O)c1cc(\C=C\C(=O)c2ccc(Cl)cc2)ccc1O,5.22
OC(=O)c1cc(Cl)ccc1Nc2ccc(nc2)c3ccccc3Cl,6.84
CCc1cc(O)n2nc(SCc3cc(Cl)ccc3Cl)nc2n1,7.89
Cc1cc(C(=O)O)c2nc(c3ccc(cc3)c4ccccc4)n(CCO)c2c1,5.32
Cc1cc(C(=O)O)c2nc([nH]c2c1)c3ccc(cc3)c4cccnc4,6.39
CC(C)c1n[nH]c(Nc2ccc(cc2)C(F)(F)F)c1C#N,5.4
CC\C(=C(/C#N)\C(=O)Nc1ccc(c2ccc(F)nc2)c(c1)C(=O)OC)\O,6.82
COc1ccccc1c2c(F)c(F)c(NC(=O)c3ccsc3C(=O)O)c(F)c2F,9
OC(=O)c1cc(nc2ccc(Cl)cc12)c3ccc(F)cc3,5.8
COc1ccc(cc1)c2ccc(NC(=O)C3=C(CCC3)C(=O)O)c(Cl)c2,5.08
Cc1cc(O)n2nc(SCc3cccc(Cl)c3)nc2n1,4.54
OC(=O)c1ccccc1\C=N\Nc2nc(cs2)c3ccccc3Cl,7.54
C\C(=C(/C#N)\C(=O)Nc1ccc(c(Cl)c1)c2ccccc2Cl)\O,7.66
OC(=O)c1cccnc1Nc2ccc(F)cc2,5.55
Fc1ccc(cc1)C(=O)NCCC(=O)N[C@@H]2CCCc3ccccc23,5.02
CCCN(\N=C\c1ccccc1C(=O)O)c2nc(cs2)c3ccccc3Cl,8.05
Cc1c(nc2ccc(F)cc2c1C(=O)O)C(=O)Nc3c(F)cc(cc3F)c4cccc(F)c4,5.34
Cc1ccccc1c2ncc(Nc3ccc(cc3C(=O)O)C4CC4)cn2,7.92
COc1cc(ccc1NC(=O)C2=C(CCC2)C(=O)O)c3ccccc3Cl,6.65
CC(C)(C)c1ccc(cc1)c2ccc(NC(=O)C3=C(CCC3)C(=O)O)cc2Cl,7.1
OC(=O)c1ccccc1NC(=O)c2ccc3cc(Br)ccc3c2,5.08
Cc1cc(C(=O)O)c2nc([nH]c2c1)c3ccc(cc3)c4ccc(Oc5ccc(C=O)cc5)cc4,5.8
OC(=O)c1cccnc1Nc2ccccc2,4.76
Cc1cc(C(=O)O)c2[nH]c(nc2c1)c3ccc(cc3)c4ccc(F)cc4F,5.85
Cc1cc(Nc2ccc(c(F)c2)C(F)(F)F)n3nc(nc3n1)C(C)(F)F,4.77
Clc1ccc(cc1Cl)C(=O)NCCC(=O)N[C@@H]2CCCc3ccccc23,5.82
Cc1c(F)c(Nc2ncccc2C(=O)O)c(F)cc1c3ccccc3Cl,8.4
Oc1ccc(\C=N\c2cccc3ccccc23)c(O)c1,6.11
Cc1cc(C(=O)O)c2nc([nH]c2c1)c3ccc(cc3)c4ccc(NC(=O)C5CCNCC5)cc4,5.43
CC\C(=C(/C#N)\C(=O)Nc1ccc(c2cccc(OC(F)(F)F)c2)c(c1)C(=O)OC)\O,7.57
Cc1cc(C)c2nc(c(O)c(C(=O)O)c2c1)c3ccc(Cl)cc3,5.31
Cc1cc(C(=O)O)c2nc([nH]c2c1)c3c(F)c(F)c(c(F)c3F)c4ccc(F)cc4,6.93
C\C(=C(/C#N)\C(=O)Nc1ccc(c(Cl)c1)c2cccc(Cl)c2)\O,6.72
